i,joint_names,positions
11,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.03766016662120819, -1.0365686416625977, 2.372751235961914, -0.013410224579274654, -0.9708454012870789, 1.850418210029602, 0.007572130300104618, -0.9897817969322205, 1.8456840515136719, -0.022013438865542412, -1.089158058166504, 2.3710858821868896]"
12,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.044829919934272766, -1.0093985795974731, 2.371518850326538, -0.015090628527104855, -0.9752025604248047, 1.8511146306991577, 0.00852008257061243, -0.9964005947113037, 1.8455922603607178, -0.026186568662524223, -1.0724884271621704, 2.3708646297454834]"
13,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.053548410534858704, -0.9752892255783081, 2.367086887359619, -0.017192376777529716, -0.9806327819824219, 1.851941466331482, 0.009705291129648685, -1.0046230554580688, 1.8453726768493652, -0.03125514090061188, -1.051259160041809, 2.368250608444214]"
14,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.061839357018470764, -0.9414967894554138, 2.359133720397949, -0.01929558627307415, -0.9860451221466064, 1.852720022201538, 0.010890976525843143, -1.0127876996994019, 1.845036506652832, -0.03606967628002167, -1.0297937393188477, 2.3626577854156494]"
15,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.06803520023822784, -0.9150770902633667, 2.350034713745117, -0.020979149267077446, -0.9903618693351746, 1.8533079624176025, 0.01183991227298975, -1.0192770957946777, 1.8446837663650513, -0.039664819836616516, -1.0126231908798218, 2.3557636737823486]"
16,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.06803520023822784, -0.9150770902633667, 2.350034713745117, -0.020979149267077446, -0.9903618693351746, 1.8533079624176025, 0.01183991227298975, -1.0192770957946777, 1.8446837663650513, -0.039664819836616516, -1.0126231908798218, 2.3557636737823486]"
17,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.07505933940410614, -0.8833242058753967, 2.3350276947021484, -0.023084772750735283, -0.9957408308982849, 1.8539992570877075, 0.013026521541178226, -1.0273345708847046, 1.8441379070281982, -0.043739303946495056, -0.9913972020149231, 2.3437886238098145]"
18,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.08248992264270782, -0.8577495813369751, 2.320552110671997, -0.025500787422060966, -0.999629020690918, 1.8549644947052002, 0.014378652907907963, -1.0344051122665405, 1.8437399864196777, -0.04807291924953461, -0.9766805171966553, 2.3322291374206543]"
19,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.0867958813905716, -0.8351559638977051, 2.3027265071868896, -0.027237070724368095, -1.0038810968399048, 1.855484127998352, 0.015355990268290043, -1.0408095121383667, 1.8431456089019775, -0.05057339370250702, -0.9606289863586426, 2.3170182704925537]"
20,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.08819286525249481, -0.8111376166343689, 2.2759509086608887, -0.02856583707034588, -1.009636640548706, 1.855569839477539, 0.01611371524631977, -1.0479952096939087, 1.8421735763549805, -0.05136565864086151, -0.9392507076263428, 2.292786121368408]"
21,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.09082682430744171, -0.788472592830658, 2.2452969551086426, -0.03067619912326336, -1.0149457454681396, 1.8560863733291626, 0.017301814630627632, -1.0558273792266846, 1.841208815574646, -0.05290381610393524, -0.9208841919898987, 2.264770746231079]"
22,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.09082682430744171, -0.788472592830658, 2.2452969551086426, -0.03067619912326336, -1.0149457454681396, 1.8560863733291626, 0.017301814630627632, -1.0558273792266846, 1.841208815574646, -0.05290381610393524, -0.9208841919898987, 2.264770746231079]"
23,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.09198759496212006, -0.7689180970191956, 2.210277557373047, -0.032787904143333435, -1.0202347040176392, 1.856554388999939, 0.018490450456738472, -1.0635942220687866, 1.8401275873184204, -0.053590938448905945, -0.9035567045211792, 2.23185133934021]"
24,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.09475301206111908, -0.7536748051643372, 2.1796658039093018, -0.035496339201927185, -1.0239083766937256, 1.8575319051742554, 0.020002232864499092, -1.0706623792648315, 1.8392915725708008, -0.05523614585399628, -0.892628014087677, 2.203183889389038]"
25,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.09370286762714386, -0.7421051859855652, 2.146052598953247, -0.03723759949207306, -1.028088092803955, 1.8578746318817139, 0.02098126895725727, -1.0768238306045532, 1.8382635116577148, -0.05464117228984833, -0.8800180554389954, 2.1703155040740967]"
26,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.09180693328380585, -0.7322530150413513, 2.1101388931274414, -0.03897978365421295, -1.0322543382644653, 1.85818612575531, 0.02196057327091694, -1.0829411745071411, 1.8371599912643433, -0.05355481803417206, -0.8678682446479797, 2.134631872177124]"
27,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.08840219676494598, -0.7221078872680664, 2.0625791549682617, -0.04115857183933258, -1.0374436378479004, 1.8585325479507446, 0.02318503148853779, -1.0905247926712036, 1.8356750011444092, -0.05159373581409454, -0.8532484173774719, 2.0866425037384033]"
28,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.08241386711597443, -0.7171455025672913, 2.0226869583129883, -0.04167090356349945, -1.0422216653823853, 1.85798978805542, 0.02348734624683857, -1.0954769849777222, 1.8343183994293213, -0.048098430037498474, -0.8399417400360107, 2.0451407432556152]"
29,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.08010803163051605, -0.7093340754508972, 1.9733200073242188, -0.04508359730243683, -1.046730875968933, 1.859034538269043, 0.025390343740582466, -1.1039958000183105, 1.8327064514160156, -0.046794816851615906, -0.8288034200668335, 1.9948126077651978]"
30,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.08010803163051605, -0.7093340754508972, 1.9733200073242188, -0.04508359730243683, -1.046730875968933, 1.859034538269043, 0.025390343740582466, -1.1039958000183105, 1.8327064514160156, -0.046794816851615906, -0.8288034200668335, 1.9948126077651978]"
31,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.07585479319095612, -0.7060753703117371, 1.9347282648086548, -0.04682938754558563, -1.0508363246917725, 1.8592077493667603, 0.02637098915874958, -1.1099072694778442, 1.831264853477478, -0.04432685673236847, -0.8192897439002991, 1.9544774293899536]"
32,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.06927202641963959, -0.7060714364051819, 1.8987265825271606, -0.04718048870563507, -1.0556411743164062, 1.8584487438201904, 0.026584552600979805, -1.1145920753479004, 1.829698085784912, -0.04047693312168121, -0.8095676898956299, 1.91590416431427]"
33,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.06386591494083405, -0.7083384990692139, 1.8622130155563354, -0.049301669001579285, -1.0607620477676392, 1.8585376739501953, 0.027776436880230904, -1.1218122243881226, 1.8277127742767334, -0.03733237087726593, -0.8034899830818176, 1.876686692237854]"
34,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.06146799027919769, -0.7137786746025085, 1.8437738418579102, -0.05250854790210724, -1.0640802383422852, 1.859557032585144, 0.029559927061200142, -1.1287904977798462, 1.8260623216629028, -0.03595595061779022, -0.8048318028450012, 1.8563467264175415]"
35,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.06146799027919769, -0.7137786746025085, 1.8437738418579102, -0.05250854790210724, -1.0640802383422852, 1.859557032585144, 0.029559927061200142, -1.1287904977798462, 1.8260623216629028, -0.03595595061779022, -0.8048318028450012, 1.8563467264175415]"
36,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.05581925809383392, -0.7317699790000916, 1.839523434638977, -0.05716650187969208, -1.0765957832336426, 1.8633748292922974, 0.03217409551143646, -1.1457126140594482, 1.825102686882019, -0.03266124427318573, -0.8137701153755188, 1.8488692045211792]"
37,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.05443622171878815, -0.7371386885643005, 1.8404885530471802, -0.06008507311344147, -1.0881023406982422, 1.873552680015564, 0.03381069004535675, -1.1599891185760498, 1.8324124813079834, -0.03185422718524933, -0.8169192671775818, 1.849066972732544]"
38,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.052592918276786804, -0.744274377822876, 1.8417081832885742, -0.06398637592792511, -1.1069762706756592, 1.8946014642715454, 0.035996630787849426, -1.182588815689087, 1.849811315536499, -0.030778421089053154, -0.8211073279380798, 1.849305272102356]"
39,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.052592918276786804, -0.744274377822876, 1.8417081832885742, -0.06398637592792511, -1.1069762706756592, 1.8946014642715454, 0.035996630787849426, -1.182588815689087, 1.849811315536499, -0.030778421089053154, -0.8211073279380798, 1.849305272102356]"
40,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.049662306904792786, -0.7504447102546692, 1.8421224355697632, -0.06498344242572784, -1.1239427328109741, 1.9131500720977783, 0.03657577931880951, -1.199896216392517, 1.8671165704727173, -0.029052240774035454, -0.822936475276947, 1.8487927913665771]"
41,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.048322781920433044, -0.7557357549667358, 1.8429440259933472, -0.06780607998371124, -1.1410361528396606, 1.9352226257324219, 0.03815604746341705, -1.2196904420852661, 1.8867734670639038, -0.028270704671740532, -0.8260977864265442, 1.8489580154418945]"
42,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.04798834025859833, -0.7619964480400085, 1.8444198369979858, -0.07363872230052948, -1.1636580228805542, 1.9682049751281738, 0.04139547049999237, -1.248532772064209, 1.915198802947998, -0.028090370818972588, -0.8315227627754211, 1.8497737646102905]"
43,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.04660804569721222, -0.7672794461250305, 1.845139503479004, -0.07643570005893707, -1.1815333366394043, 1.9927401542663574, 0.042957231402397156, -1.2690870761871338, 1.9375483989715576, -0.027284367009997368, -0.8346317410469055, 1.8498787879943848]"
44,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.04568807780742645, -0.7707924246788025, 1.845595121383667, -0.07825370132923126, -1.1933636665344238, 2.0091755390167236, 0.04397161304950714, -1.2826560735702515, 1.9526097774505615, -0.02674718014895916, -0.8367006182670593, 1.8499400615692139]"
45,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.042969658970832825, -0.7767465114593506, 1.8458033800125122, -0.07855550944805145, -1.2119090557098389, 2.032158851623535, 0.04416225850582123, -1.300819993019104, 1.9753527641296387, -0.02514605037868023, -0.838671088218689, 1.8494532108306885]"
46,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.04163254797458649, -0.7819593548774719, 1.8464112281799316, -0.08098302781581879, -1.2287850379943848, 2.0560691356658936, 0.04551546275615692, -1.3200069665908813, 1.9975738525390625, -0.024365318939089775, -0.8417960405349731, 1.849535584449768]"
47,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.04163254797458649, -0.7819593548774719, 1.8464112281799316, -0.08098302781581879, -1.2287850379943848, 2.0560691356658936, 0.04551546275615692, -1.3200069665908813, 1.9975738525390625, -0.024365318939089775, -0.8417960405349731, 1.849535584449768]"
48,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.04109172523021698, -0.7882483005523682, 1.8475837707519531, -0.08646108210086823, -1.2488704919815063, 2.088283061981201, 0.04854215681552887, -1.346016764640808, 2.0260565280914307, -0.024062199518084526, -0.8469946384429932, 1.8501360416412354]"
49,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.039254769682884216, -0.7951781749725342, 1.848244309425354, -0.08915971219539642, -1.268385648727417, 2.117199182510376, 0.05004064738750458, -1.3681570291519165, 2.0533971786499023, -0.022988809272646904, -0.8510890603065491, 1.8501638174057007]"
50,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.03741873800754547, -0.8020768165588379, 1.8488271236419678, -0.09141306579113007, -1.2859026193618774, 2.144083261489868, 0.05128960311412811, -1.3879330158233643, 2.079181671142578, -0.021915925666689873, -0.8551698327064514, 1.8501622676849365]"
51,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.03512512147426605, -0.8106556534767151, 1.849447250366211, -0.0935005396604538, -1.3046830892562866, 2.1746487617492676, 0.052442893385887146, -1.408962368965149, 2.1091134548187256, -0.02057514898478985, -0.8602516651153564, 1.8501198291778564]"
52,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.03283281624317169, -0.8191837072372437, 1.8499464988708496, -0.09467442333698273, -1.3197658061981201, 2.2018024921417236, 0.053086116909980774, -1.4255926609039307, 2.1365208625793457, -0.019234968349337578, -0.8653116226196289, 1.8500316143035889]"
53,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.030542002990841866, -0.8276597261428833, 1.8503247499465942, -0.09485329687595367, -1.331028938293457, 2.2256529331207275, 0.05317510664463043, -1.4376437664031982, 2.161545753479004, -0.01789538376033306, -0.8703497648239136, 1.8498982191085815]"
54,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.028710441663861275, -0.834402322769165, 1.8505405187606812, -0.09424851834774017, -1.3372852802276611, 2.24249005317688, 0.05283014476299286, -1.4439475536346436, 2.1799821853637695, -0.01682404987514019, -0.8743640780448914, 1.849758505821228]"
55,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.026422427967190742, -0.8427814841270447, 1.8507012128829956, -0.09254799783229828, -1.341745138168335, 2.2609496116638184, 0.051874175667762756, -1.4476964473724365, 2.2012271881103516, -0.015485449694097042, -0.8793619871139526, 1.8495434522628784]"
56,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.026422427967190742, -0.8427814841270447, 1.8507012128829956, -0.09254799783229828, -1.341745138168335, 2.2609496116638184, 0.051874175667762756, -1.4476964473724365, 2.2012271881103516, -0.015485449694097042, -0.8793619871139526, 1.8495434522628784]"
57,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.024135993793606758, -0.8511052131652832, 1.8507410287857056, -0.08982081711292267, -1.3426426649093628, 2.2768020629882812, 0.0503474622964859, -1.4469819068908691, 2.2206592559814453, -0.014147325418889523, -0.8843368887901306, 1.8492828607559204]"
