i,joint_names,positions,pulse_position
11,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.03766016662120819, -1.0365686416625977, 2.372751235961914, -0.013410224579274654, -0.9708454012870789, 1.850418210029602, 0.007572130300104618, -0.9897817969322205, 1.8456840515136719, -0.022013438865542412, -1.089158058166504, 2.3710858821868896]","[1566.8668515980244, 2088.2596272617384, 387.22090364973064, 1548.9459474105388, 486.99987085495275, 2010.737001411152, 1642.3425723891705, 1833.84245818483, 337.9386931802545, 1535.4389009810984, 625.6570411008212, 2397.1970269959925]"
12,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.044829919934272766, -1.0093985795974731, 2.371518850326538, -0.015090628527104855, -0.9752025604248047, 1.8511146306991577, 0.00852008257061243, -0.9964005947113037, 1.8455922603607178, -0.026186568662524223, -1.0724884271621704, 2.3708646297454834]","[1577.6931791007519, 2033.5231231844102, 387.01978459766036, 1546.3077132124454, 489.1855287718094, 2011.4937594246828, 1643.8877345900983, 1846.1055978253478, 337.92188652136326, 1528.887087199837, 616.0813216428292, 2396.9733380529897]"
13,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.053548410534858704, -0.9752892255783081, 2.367086887359619, -0.017192376777529716, -0.9806327819824219, 1.851941466331482, 0.009705291129648685, -1.0046230554580688, 1.8453726768493652, -0.03125514090061188, -1.051259160041809, 2.368250608444214]","[1590.8580999076366, 1964.8067989128667, 386.29651083891895, 1543.0079684592783, 491.90946112372393, 2012.3922314517024, 1645.8196245413274, 1861.339963293486, 337.8816815010026, 1520.9294287860394, 603.886360267229, 2394.330530325533]"
14,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.061839357018470764, -0.9414967894554138, 2.359133720397949, -0.01929558627307415, -0.9860451221466064, 1.852720022201538, 0.010890976525843143, -1.0127876996994019, 1.845036506652832, -0.03606967628002167, -1.0297937393188477, 2.3626577854156494]","[1603.3774290978909, 1896.7289339013657, 384.998594541964, 1539.7059295512736, 494.6244237300118, 2013.2382407954835, 1647.7522917371243, 1876.4672078155997, 337.8201298411671, 1513.370608240366, 591.555742580646, 2388.6761173676086]"
15,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.06803520023822784, -0.9150770902633667, 2.350034713745117, -0.020979149267077446, -0.9903618693351746, 1.8533079624176025, 0.01183991227298975, -1.0192770957946777, 1.8446837663650513, -0.039664819836616516, -1.0126231908798218, 2.3557636737823486]","[1612.733152359724, 1843.5041025012376, 383.5136830497585, 1537.0627356506884, 496.7898100217521, 2013.8771196935893, 1649.2990570049733, 1888.4905953181592, 337.7555442519993, 1507.726232856512, 581.6922756119271, 2381.706085604826]"
16,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.06803520023822784, -0.9150770902633667, 2.350034713745117, -0.020979149267077446, -0.9903618693351746, 1.8533079624176025, 0.01183991227298975, -1.0192770957946777, 1.8446837663650513, -0.039664819836616516, -1.0126231908798218, 2.3557636737823486]","[1612.733152359724, 1843.5041025012376, 383.5136830497585, 1537.0627356506884, 496.7898100217521, 2013.8771196935893, 1649.2990570049733, 1888.4905953181592, 337.7555442519993, 1507.726232856512, 581.6922756119271, 2381.706085604826]"
17,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.07505933940410614, -0.8833242058753967, 2.3350276947021484, -0.023084772750735283, -0.9957408308982849, 1.8539992570877075, 0.013026521541178226, -1.0273345708847046, 1.8441379070281982, -0.043739303946495056, -0.9913972020149231, 2.3437886238098145]","[1623.3396025002003, 1779.5350956729465, 381.0646140589457, 1533.7569067813456, 499.48802910287014, 2014.6283075950726, 1651.2332301121205, 1903.41927957125, 337.65559919867064, 1501.3292928040028, 569.4991974006641, 2369.5991626089326]"
18,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.08248992264270782, -0.8577495813369751, 2.320552110671997, -0.025500787422060966, -0.999629020690918, 1.8549644947052002, 0.014378652907907963, -1.0344051122665405, 1.8437399864196777, -0.04807291924953461, -0.9766805171966553, 2.3322291374206543]","[1634.5597831904888, 1728.0127422470293, 378.7022725525718, 1529.9637637473643, 501.43844049109066, 2015.6771726473762, 1653.43720423989, 1916.5193982323042, 337.5827412410356, 1494.5255167782307, 561.0453302973799, 2357.9123795135274]"
19,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.0867958813905716, -0.8351559638977051, 2.3027265071868896, -0.027237070724368095, -1.0038810968399048, 1.855484127998352, 0.015355990268290043, -1.0408095121383667, 1.8431456089019775, -0.05057339370250702, -0.9606289863586426, 2.3170182704925537]","[1641.061780899763, 1682.4958924834207, 375.7932249520521, 1527.237798962742, 503.57138620281444, 2016.241826564011, 1655.0302641373128, 1928.3853069008112, 337.4739126680073, 1490.599771887064, 551.8246729153323, 2342.5340057262215]"
20,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.08819286525249481, -0.8111376166343689, 2.2759509086608887, -0.02856583707034588, -1.009636640548706, 1.855569839477539, 0.01611371524631977, -1.0479952096939087, 1.8421735763549805, -0.05136565864086151, -0.9392507076263428, 2.292786121368408]","[1643.1712265312672, 1634.1087979026613, 371.4235837946228, 1525.151635799557, 506.4585081268307, 2016.3349640189456, 1656.2653558515012, 1941.6987839821948, 337.29593669839784, 1489.3559159338474, 539.5441131607677, 2318.0350045409295]"
21,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.09082682430744171, -0.788472592830658, 2.2452969551086426, -0.03067619912326336, -1.0149457454681396, 1.8560863733291626, 0.017301814630627632, -1.0558273792266846, 1.841208815574646, -0.05290381610393524, -0.9208841919898987, 2.264770746231079]","[1647.148504704237, 1588.4480936734649, 366.421014871663, 1521.8383673764765, 509.1216854017004, 2016.896249960854, 1658.201957847923, 1956.2100278476844, 337.1192921654018, 1486.9410087168217, 528.9936336024804, 2289.71111526559]"
22,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.09082682430744171, -0.788472592830658, 2.2452969551086426, -0.03067619912326336, -1.0149457454681396, 1.8560863733291626, 0.017301814630627632, -1.0558273792266846, 1.841208815574646, -0.05290381610393524, -0.9208841919898987, 2.264770746231079]","[1647.148504704237, 1588.4480936734649, 366.421014871663, 1521.8383673764765, 509.1216854017004, 2016.896249960854, 1658.201957847923, 1956.2100278476844, 337.1192921654018, 1486.9410087168217, 528.9936336024804, 2289.71111526559]"
23,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.09198759496212006, -0.7689180970191956, 2.210277557373047, -0.032787904143333435, -1.0202347040176392, 1.856554388999939, 0.018490450456738472, -1.0635942220687866, 1.8401275873184204, -0.053590938448905945, -0.9035567045211792, 2.23185133934021]","[1648.9012683928013, 1549.0538244535906, 360.7060277162778, 1518.5229904949665, 511.7747567631641, 2017.4048141445448, 1660.1394342444837, 1970.600236087563, 336.9213228197607, 1485.8622266352177, 519.0400144210362, 2256.429189493893]"
24,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.09475301206111908, -0.7536748051643372, 2.1796658039093018, -0.035496339201927185, -1.0239083766937256, 1.8575319051742554, 0.020002232864499092, -1.0706623792648315, 1.8392915725708008, -0.05523614585399628, -0.892628014087677, 2.203183889389038]","[1653.0770482122898, 1518.344858652723, 355.7103456325937, 1514.2707474529743, 513.6175611030163, 2018.4670215582648, 1662.6036395691335, 1983.6959373900181, 336.7682512628719, 1483.2792510092258, 512.7621265897307, 2227.4460445514064]"
25,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.09370286762714386, -0.7421051859855652, 2.146052598953247, -0.03723759949207306, -1.028088092803955, 1.8578746318817139, 0.02098126895725727, -1.0768238306045532, 1.8382635116577148, -0.05464117228984833, -0.8800180554389954, 2.1703155040740967]","[1651.4913301169872, 1495.0368328619072, 350.2248419690078, 1511.5369687974453, 515.7142092441042, 2018.8394418405142, 1664.1994684003294, 1995.1117172172917, 336.58001668328984, 1484.2133595049381, 505.5184493682454, 2194.215702221307]"
26,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.09180693328380585, -0.7322530150413513, 2.1101388931274414, -0.03897978365421295, -1.0322543382644653, 1.85818612575531, 0.02196057327091694, -1.0829411745071411, 1.8371599912643433, -0.05355481803417206, -0.8678682446479797, 2.134631872177124]","[1648.6284692585468, 1475.1887591340703, 344.3639082931514, 1508.8017396628857, 517.8041001768197, 2019.1779233005204, 1665.7957344315946, 2006.4457759104846, 336.37796572048944, 1485.9189356863499, 498.53909994100223, 2158.1391109267956]"
27,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.08840219676494598, -0.7221078872680664, 2.0625791549682617, -0.04115857183933258, -1.0374436378479004, 1.8585325479507446, 0.02318503148853779, -1.0905247926712036, 1.8356750011444092, -0.05159373581409454, -0.8532484173774719, 2.0866425037384033]","[1643.4873171150684, 1454.7504978449945, 336.60240152066575, 1505.3810422122478, 520.4071801559907, 2019.5543592449435, 1667.7916013263166, 2020.4965101420335, 336.1060689025565, 1488.9978347718716, 490.1408717840448, 2109.621268442485]"
28,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.08241386711597443, -0.7171455025672913, 2.0226869583129883, -0.04167090356349945, -1.0422216653823853, 1.85798978805542, 0.02348734624683857, -1.0954769849777222, 1.8343183994293213, -0.048098430037498474, -0.8399417400360107, 2.0451407432556152]","[1634.4449393451214, 1444.7533329597547, 330.0921984267601, 1504.5766814053059, 522.8039559857475, 2018.96457505535, 1668.2843743823469, 2029.6718056879183, 335.8576795802416, 1494.4854648411274, 482.4969707818734, 2067.6624774970132]"
29,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.08010803163051605, -0.7093340754508972, 1.9733200073242188, -0.04508359730243683, -1.046730875968933, 1.859034538269043, 0.025390343740582466, -1.1039958000183105, 1.8327064514160156, -0.046794816851615906, -0.8288034200668335, 1.9948126077651978]","[1630.9631277620792, 1429.0165189921825, 322.0357637350071, 1499.2187522351742, 525.0658866395831, 2020.0998416131356, 1671.3862602971494, 2045.4552488299064, 335.5625371886474, 1496.532137542963, 476.0986631510408, 2016.7801127213406]"
30,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.08010803163051605, -0.7093340754508972, 1.9733200073242188, -0.04508359730243683, -1.046730875968933, 1.859034538269043, 0.025390343740582466, -1.1039958000183105, 1.8327064514160156, -0.046794816851615906, -0.8288034200668335, 1.9948126077651978]","[1630.9631277620792, 1429.0165189921825, 322.0357637350071, 1499.2187522351742, 525.0658866395831, 2020.0998416131356, 1671.3862602971494, 2045.4552488299064, 335.5625371886474, 1496.532137542963, 476.0986631510408, 2016.7801127213406]"
31,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.07585479319095612, -0.7060753703117371, 1.9347282648086548, -0.04682938754558563, -1.0508363246917725, 1.8592077493667603, 0.02637098915874958, -1.1099072694778442, 1.831264853477478, -0.04432685673236847, -0.8192897439002991, 1.9544774293899536]","[1624.5407377183437, 1422.4515679549374, 315.73778812601483, 1496.4778615534306, 527.125280437168, 2020.2880595853471, 1672.9847123287618, 2056.4078686080798, 335.2985853367358, 1500.4068349301815, 470.63361752638144, 1976.0007506531442]"
32,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.06927202641963959, -0.7060714364051819, 1.8987265825271606, -0.04718048870563507, -1.0556411743164062, 1.8584487438201904, 0.026584552600979805, -1.1145920753479004, 1.829698085784912, -0.04047693312168121, -0.8095676898956299, 1.91590416431427]","[1614.6007598936558, 1422.4436427506564, 309.8624971411598, 1495.926632732153, 529.535510885365, 2019.4632943898405, 1673.332820739597, 2065.087757387092, 335.0117153136088, 1506.4512149989605, 465.04887112857824, 1937.0027046289013]"
33,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.06386591494083405, -0.7083384990692139, 1.8622130155563354, -0.049301669001579285, -1.0607620477676392, 1.8585376739501953, 0.027776436880230904, -1.1218122243881226, 1.8277127742767334, -0.03733237087726593, -0.8034899830818176, 1.876686692237854]","[1606.4375315606594, 1427.0108419147919, 303.9036691849767, 1492.5963796675205, 532.1042666379377, 2019.559929356991, 1675.2755921147764, 2078.4650653002304, 334.6482112913037, 1511.3881777226925, 461.5575871654321, 1897.353357393459]"
34,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.06146799027919769, -0.7137786746025085, 1.8437738418579102, -0.05250854790210724, -1.0640802383422852, 1.859557032585144, 0.029559927061200142, -1.1287904977798462, 1.8260623216629028, -0.03595595061779022, -0.8048318028450012, 1.8563467264175415]","[1602.8166653215885, 1437.9705588836312, 300.89449005408306, 1487.5615797936916, 533.7687524347314, 2020.667604429518, 1678.1826811097562, 2091.394232183505, 334.3460188337071, 1513.5491575300694, 462.32838344833095, 1876.7894014608792]"
35,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.06146799027919769, -0.7137786746025085, 1.8437738418579102, -0.05250854790210724, -1.0640802383422852, 1.859557032585144, 0.029559927061200142, -1.1287904977798462, 1.8260623216629028, -0.03595595061779022, -0.8048318028450012, 1.8563467264175415]","[1602.8166653215885, 1437.9705588836312, 300.89449005408306, 1487.5615797936916, 533.7687524347314, 2020.667604429518, 1678.1826811097562, 2091.394232183505, 334.3460188337071, 1513.5491575300694, 462.32838344833095, 1876.7894014608792]"
36,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.05581925809383392, -0.7317699790000916, 1.839523434638977, -0.05716650187969208, -1.0765957832336426, 1.8633748292922974, 0.03217409551143646, -1.1457126140594482, 1.825102686882019, -0.03266124427318573, -0.8137701153755188, 1.8488692045211792]","[1594.2870797216892, 1474.2156401114294, 300.2008452677061, 1480.2485920488834, 540.0468567937673, 2024.8161720675416, 1682.4437756836414, 2122.7470974433622, 334.1703128543894, 1518.7218464910984, 467.46291661213286, 1869.2295347373995]"
37,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.05443622171878815, -0.7371386885643005, 1.8404885530471802, -0.06008507311344147, -1.0881023406982422, 1.873552680015564, 0.03381069004535675, -1.1599891185760498, 1.8324124813079834, -0.03185422718524933, -0.8169192671775818, 1.849066972732544]","[1592.19869479537, 1485.031382535828, 300.35834767102983, 1475.666435211897, 545.818828306241, 2035.8758238441983, 1685.1114247739315, 2149.198240733891, 335.5087122265359, 1519.9888633191586, 469.27191851381536, 1869.42948083462]"
38,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[0.052592918276786804, -0.744274377822876, 1.8417081832885742, -0.06398637592792511, -1.1069762706756592, 1.8946014642715454, 0.035996630787849426, -1.182588815689087, 1.849811315536499, -0.030778421089053154, -0.8211073279380798, 1.849305272102356]","[1589.415306597948, 1499.4068625498364, 300.5573851078388, 1469.5413897931576, 555.2864546135212, 2058.7482583613364, 1688.6745081841946, 2191.0703828933642, 338.6943816791285, 1521.6778788901865, 471.67771231363787, 1869.670404432175]"
