i,joint_names,positions,pulse_position
11,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-4.371138828673793e-08, -0.7669658660888672, 1.8225961923599243, -4.371138828673793e-08, -1.1070914268493652, 1.8267865180969238, -1.3909067675399456e-08, -1.1070914268493652, 1.8267865180969238, 1.5893254712295857e-08, -0.7669658660888672, 1.8225961923599243]","[1510, 1545.1208817896513, 297.43840563549765, 1570, 555.344219775357, 1985.0578781094928, 1630, 2051.1907472347866, 334.47861682431017, 1570, 440.5766369761657, 1842.6671958882048]"
12,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-4.371138828673793e-08, -0.7728237509727478, 1.823979377746582, 4.569557887634801e-08, -1.126177430152893, 1.842987060546875, 1.5893254712295857e-08, -1.126177430152893, 1.842987060546875, 1.5893254712295857e-08, -0.7728237509727478, 1.823979377746582]","[1510, 1556.9221113585238, 297.6641344380873, 1570, 564.9182272657698, 2002.662022929559, 1630, 2086.552807159053, 337.4448829844678, 1570, 443.94164621066346, 1844.0656133481502]"
13,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-4.371138828673793e-08, -0.7786678671836853, 1.8253159523010254, 4.569557887634801e-08, -1.1483666896820068, 1.8659628629684448, 1.5893254712295857e-08, -1.1483666896820068, 1.8659628629684448, 1.5893254712295857e-08, -0.7786678671836853, 1.8253159523010254]","[1510, 1568.6956027124124, 297.88225659051636, 1570, 576.0489042105432, 2027.62843096411, 1630, 2127.664501035716, 341.6516770122676, 1570, 447.2987461549449, 1845.416906682711]"
14,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-4.371138828673793e-08, -0.7844981551170349, 1.826606035232544, 1.5893254712295857e-08, -1.1723949909210205, 1.8932440280914307, 4.569557887634801e-08, -1.1723949909210205, 1.8932440280914307, 1.5893254712295857e-08, -0.7844981551170349, 1.826606035232544]","[1510, 1580.4412357724643, 298.0927915471331, 1570, 588.1020895938701, 2057.27321496865, 1630, 2172.1835244676818, 346.6467688225564, 1570, 450.6479025696585, 1846.7211964139467]"
15,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.7888614535331726, 1.8275429010391235, 1.5893254712295857e-08, -1.1909918785095215, 1.915356993675232, 7.549790126404332e-08, -1.1909918785095215, 1.915356993675232, 4.569557887634801e-08, -0.7888614535331726, 1.8275429010391235]","[1510, 1589.2314881087696, 298.2456832699248, 1570, 597.4307446422407, 2081.302030654359, 1630, 2206.639363275373, 350.69558025677844, 1570, 453.15436006314314, 1847.6683792819733]"
16,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.7917659282684326, 1.8281528949737549, 1.5893254712295857e-08, -1.2034573554992676, 1.9305227994918823, 7.549790126404332e-08, -1.2034573554992676, 1.9305227994918823, 4.569557887634801e-08, -0.7917659282684326, 1.8281528949737549]","[1510, 1595.0828105241544, 298.3452311698517, 1570, 603.683733713522, 2097.7817900657556, 1630, 2229.7350809741374, 353.47238953488926, 1570, 454.8228094265661, 1848.2850906620076]"
17,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.7917659282684326, 1.8281528949737549, 1.5893254712295857e-08, -1.2034573554992676, 1.9305227994918823, 7.549790126404332e-08, -1.2034573554992676, 1.9305227994918823, 4.569557887634801e-08, -0.7917659282684326, 1.8281528949737549]","[1510, 1595.0828105241544, 298.3452311698517, 1570, 603.683733713522, 2097.7817900657556, 1630, 2229.7350809741374, 353.47238953488926, 1570, 454.8228094265661, 1848.2850906620076]"
18,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.7961156964302063, 1.8290460109710693, 7.549790126404332e-08, -1.2220231294631958, 1.9535224437713623, 1.5893254712295857e-08, -1.2220231294631958, 1.9535224437713623, 4.569557887634801e-08, -0.7961156964302063, 1.8290460109710693]","[1510, 1603.8458049608867, 298.49098314684045, 1570, 612.996781404502, 2122.7741055982024, 1630, 2264.1332732521123, 357.6835489286348, 1570, 457.32149458724075, 1849.1880419340848]"
19,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.8004571795463562, 1.8299129009246826, 4.569557887634801e-08, -1.2401901483535767, 1.976457118988037, 4.569557887634801e-08, -1.2401901483535767, 1.976457118988037, 4.569557887634801e-08, -0.8004571795463562, 1.8299129009246826]","[1510, 1612.5921084370875, 298.63245516721724, 1570, 622.1098037680069, 2147.6958231988833, 1630, 2297.7926623044127, 361.88281270017814, 1570, 459.815420478045, 1850.0644783530045]"
20,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.8062326908111572, 1.8310279846191406, -4.371138828673793e-08, -1.263398289680481, 2.006391763687134, 1.5893254712295857e-08, -1.263398289680481, 2.006391763687134, 4.569557887634801e-08, -0.8062326908111572, 1.8310279846191406]","[1510, 1624.227389031467, 298.8144311406227, 1570, 633.7515768185895, 2180.223982181715, 1630, 2340.7921143783383, 367.3637479134025, 1570, 463.13311092865126, 1851.1918417004429]"
21,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.8062326908111572, 1.8310279846191406, -4.371138828673793e-08, -1.263398289680481, 2.006391763687134, 1.5893254712295857e-08, -1.263398289680481, 2.006391763687134, 4.569557887634801e-08, -0.8062326908111572, 1.8310279846191406]","[1510, 1624.227389031467, 298.8144311406227, 1570, 633.7515768185895, 2180.223982181715, 1630, 2340.7921143783383, 367.3637479134025, 1570, 463.13311092865126, 1851.1918417004429]"
22,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.8119928240776062, 1.8320960998535156, 4.569557887634801e-08, -1.2850468158721924, 2.035112142562866, 1.5893254712295857e-08, -1.2850468158721924, 2.035112142562866, 4.569557887634801e-08, -0.8119928240776062, 1.8320960998535156]","[1510, 1635.8316892818389, 298.9887421008229, 1570, 644.6110086556116, 2211.4326722967235, 1630, 2380.901951324759, 372.62235503900837, 1570, 466.4419676265484, 1852.2717193563174]"
23,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.8163028359413147, 1.8328666687011719, 4.569557887634801e-08, -1.3000481128692627, 2.055649518966675, 4.569557887634801e-08, -1.3000481128692627, 2.055649518966675, 4.569557887634801e-08, -0.8163028359413147, 1.8328666687011719]","[1510, 1644.5145911237905, 299.1144950078244, 1570, 652.1360272533665, 2233.749390984001, 1630, 2408.6959716293695, 376.3826812647035, 1570, 468.91781513971534, 1853.0507739509123]"
24,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.8220356702804565, 1.833853006362915, 1.5893254712295857e-08, -1.318186640739441, 2.081541061401367, 4.569557887634801e-08, -1.318186640739441, 2.081541061401367, 4.569557887634801e-08, -0.8220356702804565, 1.833853006362915]","[1510, 1656.0638952596053, 299.27546028513433, 1570, 661.2347578221728, 2261.8841564736954, 1630, 2442.3025732464125, 381.1233377208424, 1570, 472.2109902145862, 1854.047973473759]"
25,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.8291791677474976, 1.8350201845169067, 4.569557887634801e-08, -1.3375880718231201, 2.1114015579223633, 1.5893254712295857e-08, -1.3375880718231201, 2.1114015579223633, 4.569557887634801e-08, -0.8291791677474976, 1.8350201845169067]","[1510, 1670.4551056033229, 299.46593780871916, 1570, 670.9669916254404, 2294.331743138072, 1630, 2478.2490497133203, 386.59069664597547, 1570, 476.31450802343744, 1855.2280049613332]"
26,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.8362969756126404, 1.8361141681671143, -1.3909067675399456e-08, -1.3531205654144287, 2.138500690460205, 7.549790126404332e-08, -1.3531205654144287, 2.138500690460205, 4.569557887634801e-08, -0.8362969756126404, 1.8361141681671143]","[1510, 1684.7945619615077, 299.6444703624867, 1570, 678.7584714666123, 2323.778723396179, 1630, 2507.0272575137774, 391.55245888726824, 1570, 480.40326867175526, 1856.3340359041858]"
27,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.841972291469574, 1.836936593055725, 7.549790126404332e-08, -1.3626749515533447, 2.1582865715026855, -1.3909067675399456e-08, -1.3626749515533447, 2.1582865715026855, 4.569557887634801e-08, -0.841972291469574, 1.836936593055725]","[1510, 1696.227990004424, 299.7786859109712, 1570, 683.5511859498677, 2345.278837749787, 1630, 2524.7293803632206, 395.1751887783523, 1570, 483.6634027723458, 1857.1655175947972]"
28,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.849042534828186, 1.8378987312316895, -1.0331603306212855e-07, -1.3710154294967651, 2.180830478668213, 4.569557887634801e-08, -1.3710154294967651, 2.180830478668213, 4.569557887634801e-08, -0.849042534828186, 1.8378987312316895]","[1510, 1710.471623438119, 299.935701955589, 1570, 687.7349743016788, 2369.775931459959, 1630, 2540.182405082007, 399.3029042020443, 1570, 487.72484041809815, 1858.138251139503]"
29,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.849042534828186, 1.8378987312316895, -1.0331603306212855e-07, -1.3710154294967651, 2.180830478668213, 4.569557887634801e-08, -1.3710154294967651, 2.180830478668213, 4.569557887634801e-08, -0.849042534828186, 1.8378987312316895]","[1510, 1710.471623438119, 299.935701955589, 1570, 687.7349743016788, 2369.775931459959, 1630, 2540.182405082007, 399.3029042020443, 1570, 487.72484041809815, 1858.138251139503]"
30,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.856085479259491, 1.83878755569458, -1.3909067675399456e-08, -1.3754291534423828, 2.201172351837158, -1.3909067675399456e-08, -1.3754291534423828, 2.201172351837158, 4.569557887634801e-08, -0.856085479259491, 1.83878755569458]","[1510, 1724.6602607572568, 300.08075357604133, 1570, 689.9490065138679, 2391.8802086644923, 1630, 2548.360040188318, 403.02743442698403, 1570, 491.77059644082425, 1859.036863617427]"
31,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.8631006479263306, 1.8396031856536865, 7.549790126404332e-08, -1.3760751485824585, 2.2195613384246826, 1.5893254712295857e-08, -1.376075267791748, 2.2195615768432617, 4.569557887634801e-08, -0.8631006479263306, 1.8396031856536865]","[1510, 1738.7929413310158, 300.2138602266764, 1570, 690.2730535242082, 2411.8624027163964, 1630, 2549.5571443686345, 406.39444118096435, 1570, 495.8003969257113, 1859.8614755506292]"
32,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.8700872659683228, 1.8403452634811401, 1.5893254712295857e-08, -1.3731794357299805, 2.236236572265625, 4.569557887634801e-08, -1.3731794357299805, 2.236236572265625, 4.569557887634801e-08, -0.8700872659683228, 1.8403452634811401]","[1510, 1752.86810413431, 300.3349635444494, 1570, 688.8204929174213, 2429.982365819564, 1630, 2544.1918206143464, 409.44757812344307, 1570, 499.8137967611888, 1860.6117253729303]"
33,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.8770449757575989, 1.84101402759552, 7.549790126404332e-08, -1.3670152425765991, 2.2514138221740723, 1.5893254712295857e-08, -1.3670153617858887, 2.2514138221740723, 4.569557887634801e-08, -0.8770449757575989, 1.84101402759552]","[1510, 1766.8850286940233, 300.44410243805686, 1570, 685.7283824066831, 2446.474560829951, 1630, 2532.771181692614, 412.2264827772079, 1570, 503.8105905111472, 1861.28785412845]"
34,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.8839731812477112, 1.8416094779968262, -7.351371067443324e-08, -1.3578886985778809, 2.2652840614318848, 4.569557887634801e-08, -1.3578885793685913, 2.2652838230133057, 4.569557887634801e-08, -0.8839731812477112, 1.8416094779968262]","[1510, 1780.842514221628, 300.54127690749885, 1570, 681.1502840371224, 2461.5465068057006, 1630, 2515.861312107893, 414.7660344161655, 1570, 507.7904357820707, 1861.889861817188]"
35,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.8894938826560974, 1.842032790184021, -1.3909067675399456e-08, -1.3486690521240234, 2.2755489349365234, -1.3909067675399456e-08, -1.3486690521240234, 2.2755489349365234, 4.569557887634801e-08, -0.8894938826560974, 1.842032790184021]","[1510, 1791.9644577205254, 300.61035929808713, 1570, 676.5254831919988, 2472.700720949676, 1630, 2498.779607273673, 416.6455427241212, 1570, 510.9617530046478, 1862.317835651564]"
36,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.8963672518730164, 1.8424959182739258, -1.3311836255525122e-07, -1.3350155353546143, 2.2874584197998047, 4.569557887634801e-08, -1.3350155353546143, 2.2874584197998047, 4.569557887634801e-08, -0.8963672518730164, 1.8424959182739258]","[1510, 1805.8114707036052, 300.68593944098643, 1570, 669.67654422128, 2485.64203429849, 1630, 2473.48271978505, 418.82613032135737, 1570, 514.9100980721123, 1862.786063853916]"
37,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.8963672518730164, 1.8424959182739258, -1.3311836255525122e-07, -1.3350155353546143, 2.2874584197998047, 4.569557887634801e-08, -1.3350155353546143, 2.2874584197998047, 4.569557887634801e-08, -0.8963672518730164, 1.8424959182739258]","[1510, 1805.8114707036052, 300.68593944098643, 1570, 669.67654422128, 2485.64203429849, 1630, 2473.48271978505, 418.82613032135737, 1570, 514.9100980721123, 1862.786063853916]"
38,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.9032094478607178, 1.8428856134414673, -7.351371067443324e-08, -1.3192834854125977, 2.2984495162963867, -1.3909067675399456e-08, -1.3192834854125977, 2.2984495162963867, 4.569557887634801e-08, -0.9032094478607178, 1.8428856134414673]","[1510, 1819.5956824466998, 300.74953570537195, 1570, 661.7849620189143, 2497.585390828366, 1630, 2444.3347790698604, 420.83856402236205, 1570, 518.8405359586975, 1863.1800504674263]"
39,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.9086602926254272, 1.843144416809082, -1.3909067675399456e-08, -1.3053938150405884, 2.3066415786743164, 4.569557887634801e-08, -1.3053938150405884, 2.3066415786743164, 4.569557887634801e-08, -0.9086602926254272, 1.843144416809082]","[1510, 1830.5768935301803, 300.7917710953937, 1570, 654.8175626076188, 2506.4872071052973, 1630, 2418.600352212012, 422.33850376133216, 1570, 521.9717246612161, 1863.4417038592683]"
40,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.9154446125030518, 1.8434017896652222, 1.5893254712295857e-08, -1.2866125106811523, 2.3161816596984863, 1.5893254712295857e-08, -1.2866125106811523, 2.3161816596984863, 4.569557887634801e-08, -0.9154446125030518, 1.8434017896652222]","[1510, 1844.24450870726, 300.8337730332366, 1570, 645.396399582685, 2516.8538333132465, 1630, 2383.8028307166915, 424.08526129087664, 1570, 525.8689161374115, 1863.7019109863925]"
