i,joint_names,positions
20,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.8062326908111572, 1.8310279846191406, -4.371138828673793e-08, -1.263398289680481, 2.006391763687134, 1.5893254712295857e-08, -1.263398289680481, 2.006391763687134, 4.569557887634801e-08, -0.8062326908111572, 1.8310279846191406]"
21,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.8062326908111572, 1.8310279846191406, -4.371138828673793e-08, -1.263398289680481, 2.006391763687134, 1.5893254712295857e-08, -1.263398289680481, 2.006391763687134, 4.569557887634801e-08, -0.8062326908111572, 1.8310279846191406]"
22,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.8119928240776062, 1.8320960998535156, 4.569557887634801e-08, -1.2850468158721924, 2.035112142562866, 1.5893254712295857e-08, -1.2850468158721924, 2.035112142562866, 4.569557887634801e-08, -0.8119928240776062, 1.8320960998535156]"
23,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.8163028359413147, 1.8328666687011719, 4.569557887634801e-08, -1.3000481128692627, 2.055649518966675, 4.569557887634801e-08, -1.3000481128692627, 2.055649518966675, 4.569557887634801e-08, -0.8163028359413147, 1.8328666687011719]"
24,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.8220356702804565, 1.833853006362915, 1.5893254712295857e-08, -1.318186640739441, 2.081541061401367, 4.569557887634801e-08, -1.318186640739441, 2.081541061401367, 4.569557887634801e-08, -0.8220356702804565, 1.833853006362915]"
25,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.8291791677474976, 1.8350201845169067, 4.569557887634801e-08, -1.3375880718231201, 2.1114015579223633, 1.5893254712295857e-08, -1.3375880718231201, 2.1114015579223633, 4.569557887634801e-08, -0.8291791677474976, 1.8350201845169067]"
26,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.8362969756126404, 1.8361141681671143, -1.3909067675399456e-08, -1.3531205654144287, 2.138500690460205, 7.549790126404332e-08, -1.3531205654144287, 2.138500690460205, 4.569557887634801e-08, -0.8362969756126404, 1.8361141681671143]"
27,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.841972291469574, 1.836936593055725, 7.549790126404332e-08, -1.3626749515533447, 2.1582865715026855, -1.3909067675399456e-08, -1.3626749515533447, 2.1582865715026855, 4.569557887634801e-08, -0.841972291469574, 1.836936593055725]"
28,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.849042534828186, 1.8378987312316895, -1.0331603306212855e-07, -1.3710154294967651, 2.180830478668213, 4.569557887634801e-08, -1.3710154294967651, 2.180830478668213, 4.569557887634801e-08, -0.849042534828186, 1.8378987312316895]"
29,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.849042534828186, 1.8378987312316895, -1.0331603306212855e-07, -1.3710154294967651, 2.180830478668213, 4.569557887634801e-08, -1.3710154294967651, 2.180830478668213, 4.569557887634801e-08, -0.849042534828186, 1.8378987312316895]"
30,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.856085479259491, 1.83878755569458, -1.3909067675399456e-08, -1.3754291534423828, 2.201172351837158, -1.3909067675399456e-08, -1.3754291534423828, 2.201172351837158, 4.569557887634801e-08, -0.856085479259491, 1.83878755569458]"
31,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.8631006479263306, 1.8396031856536865, 7.549790126404332e-08, -1.3760751485824585, 2.2195613384246826, 1.5893254712295857e-08, -1.376075267791748, 2.2195615768432617, 4.569557887634801e-08, -0.8631006479263306, 1.8396031856536865]"
32,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.8700872659683228, 1.8403452634811401, 1.5893254712295857e-08, -1.3731794357299805, 2.236236572265625, 4.569557887634801e-08, -1.3731794357299805, 2.236236572265625, 4.569557887634801e-08, -0.8700872659683228, 1.8403452634811401]"
33,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.8770449757575989, 1.84101402759552, 7.549790126404332e-08, -1.3670152425765991, 2.2514138221740723, 1.5893254712295857e-08, -1.3670153617858887, 2.2514138221740723, 4.569557887634801e-08, -0.8770449757575989, 1.84101402759552]"
34,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.8839731812477112, 1.8416094779968262, -7.351371067443324e-08, -1.3578886985778809, 2.2652840614318848, 4.569557887634801e-08, -1.3578885793685913, 2.2652838230133057, 4.569557887634801e-08, -0.8839731812477112, 1.8416094779968262]"
35,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.8894938826560974, 1.842032790184021, -1.3909067675399456e-08, -1.3486690521240234, 2.2755489349365234, -1.3909067675399456e-08, -1.3486690521240234, 2.2755489349365234, 4.569557887634801e-08, -0.8894938826560974, 1.842032790184021]"
36,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.8963672518730164, 1.8424959182739258, -1.3311836255525122e-07, -1.3350155353546143, 2.2874584197998047, 4.569557887634801e-08, -1.3350155353546143, 2.2874584197998047, 4.569557887634801e-08, -0.8963672518730164, 1.8424959182739258]"
37,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.8963672518730164, 1.8424959182739258, -1.3311836255525122e-07, -1.3350155353546143, 2.2874584197998047, 4.569557887634801e-08, -1.3350155353546143, 2.2874584197998047, 4.569557887634801e-08, -0.8963672518730164, 1.8424959182739258]"
38,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.9032094478607178, 1.8428856134414673, -7.351371067443324e-08, -1.3192834854125977, 2.2984495162963867, -1.3909067675399456e-08, -1.3192834854125977, 2.2984495162963867, 4.569557887634801e-08, -0.9032094478607178, 1.8428856134414673]"
39,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.9086602926254272, 1.843144416809082, -1.3909067675399456e-08, -1.3053938150405884, 2.3066415786743164, 4.569557887634801e-08, -1.3053938150405884, 2.3066415786743164, 4.569557887634801e-08, -0.9086602926254272, 1.843144416809082]"
40,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.9154446125030518, 1.8434017896652222, 1.5893254712295857e-08, -1.2866125106811523, 2.3161816596984863, 1.5893254712295857e-08, -1.2866125106811523, 2.3161816596984863, 4.569557887634801e-08, -0.9154446125030518, 1.8434017896652222]"
41,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.920848548412323, 1.8435547351837158, 4.569557887634801e-08, -1.2705881595611572, 2.323275089263916, -1.3909067675399456e-08, -1.2705881595611572, 2.323275089263916, 4.569557887634801e-08, -0.920848548412323, 1.8435547351837158]"
42,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.9262309670448303, 1.843660593032837, -1.3909067675399456e-08, -1.2537739276885986, 2.3298912048339844, -7.351371067443324e-08, -1.2537739276885986, 2.3298912048339844, 4.569557887634801e-08, -0.9262309670448303, 1.843660593032837]"
43,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.9329286217689514, 1.8437267541885376, -1.3909067675399456e-08, -1.2317547798156738, 2.3374667167663574, -7.351371067443324e-08, -1.2317545413970947, 2.3374664783477783, 4.569557887634801e-08, -0.9329286217689514, 1.8437267541885376]"
44,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.9382619261741638, 1.8437267541885376, -1.3909067675399456e-08, -1.2134029865264893, 2.342928647994995, 4.569557887634801e-08, -1.2134029865264893, 2.342928647994995, 4.569557887634801e-08, -0.9382619261741638, 1.8437267541885376]"
45,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.9382619261741638, 1.8437267541885376, -1.3909067675399456e-08, -1.2134029865264893, 2.342928647994995, 4.569557887634801e-08, -1.2134029865264893, 2.342928647994995, 4.569557887634801e-08, -0.9382619261741638, 1.8437267541885376]"
46,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.9448971152305603, 1.843660593032837, -1.0331603306212855e-07, -1.1896071434020996, 2.3489184379577637, 1.5893254712295857e-08, -1.1896071434020996, 2.3489184379577637, 4.569557887634801e-08, -0.9448971152305603, 1.843660593032837]"
47,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.9514967203140259, 1.8435208797454834, 1.5893254712295857e-08, -1.1649107933044434, 2.353834629058838, 1.5893254712295857e-08, -1.1649107933044434, 2.353834629058838, 4.569557887634801e-08, -0.9514967203140259, 1.8435208797454834]"
48,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.9567505717277527, 1.8433561325073242, -1.0331603306212855e-07, -1.1445388793945312, 2.3568646907806396, 1.5893254712295857e-08, -1.1445387601852417, 2.3568644523620605, 4.569557887634801e-08, -0.9567505717277527, 1.8433561325073242]"
49,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.961980938911438, 1.843144416809082, -1.3909067675399456e-08, -1.1236523389816284, 2.358961582183838, -7.351371067443324e-08, -1.1236523389816284, 2.358961582183838, 4.569557887634801e-08, -0.961980938911438, 1.843144416809082]"
50,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.9684855341911316, 1.8428136110305786, -1.3909067675399456e-08, -1.096885323524475, 2.3600597381591797, -7.351371067443324e-08, -1.0968852043151855, 2.3600594997406006, 4.569557887634801e-08, -0.9684855341911316, 1.8428136110305786]"
51,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.9749525189399719, 1.8424092531204224, -7.351371067443324e-08, -1.0695009231567383, 2.3591859340667725, -1.3909067675399456e-08, -1.0695009231567383, 2.3591859340667725, 4.569557887634801e-08, -0.9749525189399719, 1.8424092531204224]"
52,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.9788143634796143, 1.8421313762664795, -1.3909067675399456e-08, -1.0528448820114136, 2.3575820922851562, -7.351371067443324e-08, -1.0528450012207031, 2.3575820922851562, 4.569557887634801e-08, -0.9788143634796143, 1.8421313762664795]"
53,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.9839418530464172, 1.841719627380371, 1.5893254712295857e-08, -1.0304750204086304, 2.354034900665283, 1.5893254712295857e-08, -1.0304750204086304, 2.354034900665283, 4.569557887634801e-08, -0.9839418530464172, 1.841719627380371]"
54,"['front_left_shoulder', 'front_left_leg', 'front_left_foot', 'front_right_shoulder', 'front_right_leg', 'front_right_foot', 'rear_left_shoulder', 'rear_left_leg', 'rear_left_foot', 'rear_right_shoulder', 'rear_right_leg', 'rear_right_foot']","[-1.3909067675399456e-08, -0.9890444278717041, 1.8412610292434692, 4.569557887634801e-08, -1.008050560951233, 2.348721504211426, -1.3909067675399456e-08, -1.008050560951233, 2.348721504211426, 4.569557887634801e-08, -0.9890444278717041, 1.8412610292434692]"
